epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88.0271,1.19618,0.97269,1.1045,0.61693,0.67858,0.66249,0.39727,1.21551,1.24957,1.43152,0.000742625,0.000742625,0.000742625
43,90.0909,1.21305,0.92347,1.08138,0.64503,0.6502,0.67743,0.40384,1.26518,1.55728,1.46076,0.00073025,0.00073025,0.00073025
44,92.1702,1.13791,0.88989,1.03941,0.65961,0.62796,0.67559,0.37898,1.44115,1.27017,1.62911,0.000717875,0.000717875,0.000717875
45,94.2037,1.14336,0.91722,1.06958,0.70794,0.68079,0.6412,0.37214,1.21352,1.27189,1.43578,0.0007055,0.0007055,0.0007055
46,96.3536,1.15735,0.86192,1.05901,0.63626,0.73185,0.68662,0.4213,1.15569,1.1282,1.40572,0.000693125,0.000693125,0.000693125
47,98.4349,1.1743,0.90182,1.06447,0.62721,0.63268,0.67399,0.39058,1.2139,1.37573,1.46503,0.00068075,0.00068075,0.00068075
48,100.497,1.14551,0.89821,1.06695,0.65682,0.72942,0.73525,0.40473,1.26746,1.40161,1.48511,0.000668375,0.000668375,0.000668375
49,102.509,1.13483,0.8709,1.05998,0.61116,0.77616,0.67358,0.38188,1.20748,1.25921,1.36141,0.000656,0.000656,0.000656
50,104.529,1.18362,0.85235,1.05322,0.74407,0.60282,0.66527,0.36345,1.21833,1.38463,1.34399,0.000643625,0.000643625,0.000643625
51,106.52,1.07647,0.82156,1.05051,0.66093,0.69818,0.67025,0.36752,1.162,1.10541,1.2995,0.00063125,0.00063125,0.00063125
52,108.507,1.09315,0.85471,1.07217,0.57524,0.54308,0.53896,0.31517,1.10874,1.18731,1.31353,0.000618875,0.000618875,0.000618875
53,110.55,1.09981,0.82565,1.03778,0.74919,0.52041,0.59727,0.36028,1.17831,1.08278,1.37584,0.0006065,0.0006065,0.0006065
54,112.567,1.10767,0.83644,1.05301,0.63478,0.65125,0.61645,0.38658,1.15401,1.25192,1.33713,0.000594125,0.000594125,0.000594125
55,114.583,1.13933,0.89372,1.06277,0.62677,0.62369,0.6224,0.38876,1.2227,1.29955,1.36413,0.00058175,0.00058175,0.00058175
56,116.68,1.08183,0.79671,1.03097,0.7547,0.57786,0.66887,0.39876,1.15486,1.15101,1.36069,0.000569375,0.000569375,0.000569375
57,118.685,1.11312,0.80048,1.04682,0.73573,0.65723,0.72373,0.43302,1.21126,1.05346,1.35064,0.000557,0.000557,0.000557
58,120.758,1.08542,0.7759,1.01892,0.69135,0.68757,0.72869,0.43994,1.12552,1.00015,1.2962,0.000544625,0.000544625,0.000544625
59,122.828,1.05895,0.7869,1.01719,0.81616,0.63709,0.76728,0.47688,1.15027,0.97669,1.29601,0.00053225,0.00053225,0.00053225
60,124.95,1.06711,0.74612,0.99723,0.83921,0.6952,0.81161,0.49253,1.16075,1.02775,1.3342,0.000519875,0.000519875,0.000519875
61,127.003,1.07889,0.77346,1.02508,0.71977,0.76165,0.7892,0.45977,1.12344,1.26536,1.33225,0.0005075,0.0005075,0.0005075
62,129.089,1.0445,0.75891,1.02271,0.70012,0.78438,0.71132,0.41367,1.18899,1.39583,1.37955,0.000495125,0.000495125,0.000495125
63,131.188,1.07029,0.76445,1.00857,0.66794,0.68334,0.66889,0.35117,1.24423,1.40646,1.43621,0.00048275,0.00048275,0.00048275
64,133.263,1.06241,0.73934,1.00783,0.68107,0.69141,0.71682,0.39662,1.22339,1.14297,1.40794,0.000470375,0.000470375,0.000470375
65,135.369,1.0223,0.72904,1.00075,0.71831,0.63,0.68761,0.44389,1.17716,1.0391,1.379,0.000458,0.000458,0.000458
66,137.392,1.00624,0.74229,1.00736,0.77096,0.62353,0.68486,0.44554,1.1388,1.12561,1.39709,0.000445625,0.000445625,0.000445625
67,139.458,1.00564,0.76085,0.9867,0.83265,0.5713,0.73269,0.48492,1.05558,1.08258,1.24071,0.00043325,0.00043325,0.00043325
68,141.457,1.0128,0.72432,1.00497,0.70267,0.73444,0.78049,0.51123,1.09898,1.09578,1.29923,0.000420875,0.000420875,0.000420875
69,143.515,0.99178,0.6997,1.00036,0.73936,0.69861,0.73493,0.47259,1.14063,1.1989,1.34727,0.0004085,0.0004085,0.0004085
70,145.597,0.98736,0.70491,0.98534,0.73119,0.71453,0.76004,0.49066,1.14543,1.20162,1.29121,0.000396125,0.000396125,0.000396125
71,147.672,0.98902,0.66446,0.98324,0.71322,0.73952,0.75809,0.48473,1.14481,1.14925,1.28306,0.00038375,0.00038375,0.00038375
72,149.734,1.00272,0.6942,0.99328,0.7816,0.65402,0.71981,0.45586,1.18248,1.08253,1.34513,0.000371375,0.000371375,0.000371375
73,151.909,0.95265,0.67413,0.98479,0.7476,0.65415,0.66871,0.40777,1.2215,1.17775,1.39656,0.000359,0.000359,0.000359
74,154.579,0.9308,0.65264,0.96745,0.632,0.7806,0.67249,0.41724,1.13562,1.152,1.32609,0.000346625,0.000346625,0.000346625
75,156.996,0.93951,0.66647,0.97511,0.65715,0.69786,0.66341,0.43237,1.14611,1.15336,1.36939,0.00033425,0.00033425,0.00033425
76,159.171,0.95389,0.66184,0.97734,0.67938,0.66626,0.68017,0.43029,1.15361,1.09822,1.38536,0.000321875,0.000321875,0.000321875
77,161.509,0.97913,0.68664,0.99679,0.7112,0.62769,0.6839,0.45947,1.18683,1.10267,1.37684,0.0003095,0.0003095,0.0003095
78,163.734,0.96674,0.65911,0.97408,0.70981,0.67142,0.70827,0.47419,1.15237,1.20552,1.35239,0.000297125,0.000297125,0.000297125
79,165.903,0.92141,0.631,0.96183,0.71293,0.67486,0.70587,0.45718,1.20543,1.15668,1.40792,0.00028475,0.00028475,0.00028475
80,168.078,0.96848,0.64841,0.96377,0.80001,0.62987,0.71537,0.46095,1.19026,1.14352,1.37386,0.000272375,0.000272375,0.000272375
81,170.164,0.96051,0.6535,0.98076,0.70764,0.61049,0.69015,0.45406,1.14659,1.15354,1.32426,0.00026,0.00026,0.00026
82,172.308,0.9351,0.64679,0.97947,0.74445,0.64633,0.71042,0.46823,1.19267,1.13672,1.36804,0.000247625,0.000247625,0.000247625
