epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,139.414,1.25463,1.05766,1.16785,0.47456,0.71241,0.57166,0.3429,1.24289,1.69199,1.44183,0.000742625,0.000742625,0.000742625
43,142.638,1.28847,1.01018,1.14334,0.71723,0.67595,0.68218,0.37961,1.51327,1.49075,1.69975,0.00073025,0.00073025,0.00073025
44,145.956,1.20122,0.92816,1.09467,0.65234,0.57294,0.66409,0.39754,1.4298,1.51982,1.64683,0.000717875,0.000717875,0.000717875
45,149.266,1.24501,0.97948,1.13919,0.57546,0.71555,0.64249,0.35534,1.45479,1.34652,1.62119,0.0007055,0.0007055,0.0007055
46,152.673,1.25708,0.93562,1.11697,0.56191,0.66198,0.58891,0.32889,1.41554,1.3668,1.5782,0.000693125,0.000693125,0.000693125
47,155.956,1.22632,0.95887,1.11246,0.65674,0.64271,0.63299,0.35118,1.28428,1.24638,1.5308,0.00068075,0.00068075,0.00068075
48,159.265,1.19471,0.93854,1.11073,0.66451,0.71552,0.63599,0.33882,1.26631,1.45458,1.56672,0.000668375,0.000668375,0.000668375
49,162.47,1.21608,0.93148,1.11742,0.71514,0.67994,0.71469,0.395,1.51458,1.29783,1.67762,0.000656,0.000656,0.000656
50,165.829,1.24739,0.89991,1.10388,0.57569,0.63893,0.60383,0.32727,1.51736,1.61335,1.6837,0.000643625,0.000643625,0.000643625
51,169.121,1.14544,0.88034,1.10181,0.77035,0.56182,0.64572,0.32083,1.55806,1.60415,1.73768,0.00063125,0.00063125,0.00063125
52,172.4,1.14854,0.90188,1.11553,0.41506,0.67033,0.53171,0.2814,1.48355,1.51336,1.65797,0.000618875,0.000618875,0.000618875
53,175.742,1.18807,0.90943,1.09582,0.56261,0.56564,0.55288,0.33344,1.35655,1.42727,1.52976,0.0006065,0.0006065,0.0006065
54,179.033,1.19561,0.90789,1.10685,0.60304,0.58202,0.5641,0.31185,1.43866,1.27564,1.60394,0.000594125,0.000594125,0.000594125
55,182.26,1.20114,0.95789,1.1144,0.71186,0.4983,0.60765,0.37261,1.39009,1.3964,1.63616,0.00058175,0.00058175,0.00058175
56,185.638,1.13252,0.84406,1.06827,0.47519,0.58296,0.59816,0.35728,1.48138,1.31523,1.79729,0.000569375,0.000569375,0.000569375
57,189.083,1.16146,0.85599,1.09117,0.53918,0.67026,0.64416,0.37148,1.48933,1.36551,1.7788,0.000557,0.000557,0.000557
58,192.54,1.14427,0.81131,1.06732,0.71274,0.61992,0.68538,0.34748,1.36117,1.41299,1.49844,0.000544625,0.000544625,0.000544625
59,195.838,1.1254,0.84056,1.06699,0.66061,0.66446,0.68876,0.38361,1.38988,1.29902,1.54332,0.00053225,0.00053225,0.00053225
60,199.278,1.14,0.78883,1.04608,0.72666,0.5618,0.68749,0.39151,1.44342,1.17499,1.65126,0.000519875,0.000519875,0.000519875
61,202.559,1.12131,0.80225,1.06494,0.64509,0.57567,0.68028,0.41418,1.33192,1.11538,1.55543,0.0005075,0.0005075,0.0005075
