epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3978.64,1.50876,1.17144,1.01849,0.09157,0.20667,0.04383,0.02325,0.5355,600.937,0.37865,0.005743,0.005743,0.005743
45,4075,1.49614,1.15844,1.01965,0.09222,0.21272,0.04434,0.0236,0.5307,610.216,0.37627,0.005644,0.005644,0.005644
46,4163.13,1.48402,1.14934,1.01506,0.08699,0.2211,0.04529,0.02394,0.5305,595.413,0.37589,0.005545,0.005545,0.005545
47,4251.28,1.48808,1.15108,1.01609,0.08467,0.2234,0.04428,0.02348,0.53319,614.85,0.37719,0.005446,0.005446,0.005446
48,4339.07,1.48596,1.14794,1.01803,0.09053,0.217,0.04496,0.02377,0.53137,624.482,0.3767,0.005347,0.005347,0.005347
49,4425.33,1.4907,1.14795,1.01526,0.09079,0.21023,0.04683,0.02501,0.5297,623.217,0.37637,0.005248,0.005248,0.005248
50,4510.93,1.47419,1.13536,1.0142,0.09002,0.21687,0.04528,0.02417,0.528,630.099,0.3745,0.005149,0.005149,0.005149
51,4599.4,1.47544,1.13447,1.01246,0.08868,0.22468,0.04587,0.02438,0.52629,609.915,0.37394,0.00505,0.00505,0.00505
52,4688.5,1.47965,1.13975,1.01497,0.09242,0.21682,0.04502,0.02414,0.52662,611.44,0.37465,0.004951,0.004951,0.004951
53,4776.46,1.48275,1.13736,1.01321,0.09136,0.21984,0.04702,0.02515,0.52483,631.98,0.37386,0.004852,0.004852,0.004852
54,4865.13,1.47147,1.12601,1.01203,0.08617,0.21579,0.0447,0.02385,0.52551,631.875,0.37466,0.004753,0.004753,0.004753
55,4953.66,1.46841,1.12809,1.01103,0.08625,0.21984,0.04615,0.02457,0.52473,632.781,0.37379,0.004654,0.004654,0.004654
56,5042.08,1.46366,1.12087,1.00794,0.08717,0.21581,0.04632,0.02492,0.52252,633.976,0.37332,0.004555,0.004555,0.004555
57,5128.92,1.46873,1.1171,1.0086,0.0894,0.21977,0.04515,0.02433,0.52326,625.099,0.37286,0.004456,0.004456,0.004456
58,5215.03,1.46085,1.11476,1.00874,0.09153,0.2246,0.04626,0.02471,0.52027,629.5,0.37315,0.004357,0.004357,0.004357
59,5300.82,1.45462,1.10767,1.00527,0.09071,0.22041,0.04591,0.02447,0.52165,641.432,0.37402,0.004258,0.004258,0.004258
60,5387.72,1.45629,1.11097,1.00714,0.0911,0.21488,0.0467,0.02502,0.51975,639.793,0.37154,0.004159,0.004159,0.004159
61,5474.33,1.44986,1.10815,1.00458,0.09178,0.21831,0.04643,0.02477,0.51835,633.676,0.37126,0.00406,0.00406,0.00406
62,5560.95,1.45118,1.10343,1.00547,0.08597,0.22724,0.04628,0.02469,0.51914,640.047,0.37215,0.003961,0.003961,0.003961
63,5651.13,1.44435,1.09421,1.00408,0.08834,0.22764,0.04572,0.02435,0.52035,643.968,0.37191,0.003862,0.003862,0.003862
64,5737.4,1.45322,1.10075,1.00412,0.0976,0.21457,0.04694,0.02525,0.51957,642.942,0.37189,0.003763,0.003763,0.003763
65,5824.63,1.44369,1.09315,1.00227,0.09125,0.21909,0.04689,0.02519,0.51764,641.133,0.37052,0.003664,0.003664,0.003664
66,5910.33,1.44161,1.09455,1.00334,0.09044,0.22572,0.04817,0.02608,0.51685,643.186,0.37078,0.003565,0.003565,0.003565
67,5997.4,1.44529,1.09304,1.00156,0.08695,0.2248,0.04668,0.02511,0.51754,643.667,0.37102,0.003466,0.003466,0.003466
68,6085.5,1.43786,1.08437,0.99962,0.08747,0.23117,0.04667,0.02507,0.51628,650.878,0.37034,0.003367,0.003367,0.003367
