epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,4124.16,1.50205,1.16035,1.02072,0.08137,0.229,0.04379,0.02328,0.54033,605.351,0.3795,0.005446,0.005446,0.005446
48,4209.25,1.5003,1.15771,1.02266,0.0812,0.23236,0.04427,0.02361,0.53295,603.3,0.37705,0.005347,0.005347,0.005347
49,4293.66,1.50463,1.15644,1.01899,0.08717,0.21964,0.04496,0.02385,0.53277,610.516,0.37715,0.005248,0.005248,0.005248
50,4378.47,1.48934,1.14364,1.01895,0.0811,0.2219,0.04428,0.02368,0.53059,623.11,0.37652,0.005149,0.005149,0.005149
51,4463.31,1.4908,1.14174,1.0171,0.08346,0.23034,0.04471,0.02377,0.53005,617.665,0.37555,0.00505,0.00505,0.00505
52,4547.17,1.4943,1.14884,1.01918,0.08322,0.22537,0.04442,0.02406,0.53108,601.777,0.37707,0.004951,0.004951,0.004951
53,4633.37,1.49676,1.1471,1.01705,0.08338,0.22503,0.04469,0.0239,0.52849,623.156,0.37548,0.004852,0.004852,0.004852
54,4717.94,1.48558,1.13337,1.01622,0.07897,0.2257,0.04436,0.02383,0.52811,627.838,0.37553,0.004753,0.004753,0.004753
55,4802.55,1.48166,1.13706,1.01482,0.0809,0.23301,0.04538,0.02451,0.53006,617.616,0.37558,0.004654,0.004654,0.004654
56,4886.97,1.47908,1.12997,1.01204,0.0842,0.22794,0.04576,0.02468,0.52669,624.597,0.37517,0.004555,0.004555,0.004555
57,4971.66,1.48238,1.1266,1.01278,0.07856,0.23414,0.04503,0.02442,0.52629,630.771,0.37498,0.004456,0.004456,0.004456
58,5056.39,1.47664,1.1265,1.01326,0.08251,0.22941,0.04595,0.0249,0.52135,622.184,0.37365,0.004357,0.004357,0.004357
59,5143.23,1.47078,1.11742,1.00951,0.0831,0.23217,0.04583,0.02486,0.52414,629.613,0.37379,0.004258,0.004258,0.004258
60,5227.61,1.46923,1.11945,1.01079,0.08243,0.23144,0.04591,0.02489,0.52224,628.339,0.373,0.004159,0.004159,0.004159
61,5312.01,1.46442,1.1158,1.00852,0.08229,0.2383,0.04628,0.02499,0.52273,632.987,0.37343,0.00406,0.00406,0.00406
62,5398.67,1.46539,1.1131,1.00925,0.08161,0.22856,0.04543,0.0245,0.52234,633.472,0.37284,0.003961,0.003961,0.003961
63,5486.69,1.45997,1.10361,1.00839,0.08126,0.22735,0.04473,0.02408,0.52236,636.279,0.37299,0.003862,0.003862,0.003862
64,5571.62,1.46817,1.10977,1.00801,0.08258,0.23167,0.04586,0.02476,0.52371,638.435,0.37427,0.003763,0.003763,0.003763
65,5655.39,1.46004,1.10212,1.00696,0.08116,0.23924,0.04594,0.02474,0.52213,638.018,0.37307,0.003664,0.003664,0.003664
66,5740.63,1.45688,1.10268,1.00852,0.0828,0.23873,0.04696,0.02523,0.52198,641.427,0.37363,0.003565,0.003565,0.003565
67,5829.98,1.45993,1.10139,1.00573,0.08025,0.23606,0.04702,0.02549,0.52081,644.002,0.37253,0.003466,0.003466,0.003466
68,5916.63,1.45055,1.09442,1.00323,0.08176,0.23551,0.04645,0.02526,0.52034,646.843,0.37277,0.003367,0.003367,0.003367
69,6001.71,1.44935,1.09218,1.00738,0.08071,0.23671,0.04682,0.02533,0.51833,641.521,0.37222,0.003268,0.003268,0.003268
70,6086.33,1.44417,1.08518,1.00454,0.08182,0.23704,0.04675,0.0252,0.51877,645.6,0.37238,0.003169,0.003169,0.003169
71,6174.36,1.43715,1.07846,0.99913,0.0829,0.23782,0.04697,0.02533,0.51754,641.552,0.37154,0.00307,0.00307,0.00307
72,6264.74,1.44557,1.08478,1.00331,0.08203,0.23931,0.04705,0.02547,0.51769,644.158,0.37167,0.002971,0.002971,0.002971
73,6352.93,1.43837,1.08034,0.99964,0.08147,0.2393,0.04683,0.02533,0.51626,647.456,0.37078,0.002872,0.002872,0.002872
74,6440.3,1.43969,1.07888,1.00049,0.08183,0.24331,0.04719,0.02549,0.51542,647.451,0.37106,0.002773,0.002773,0.002773
75,6529.65,1.4321,1.07628,0.99799,0.08278,0.24086,0.04675,0.02516,0.5152,653.631,0.37038,0.002674,0.002674,0.002674
76,6617.48,1.4382,1.07872,1.00022,0.08182,0.24459,0.04703,0.02543,0.51469,651.028,0.37016,0.002575,0.002575,0.002575
77,6729.41,1.44027,1.08013,1.00171,0.08308,0.24044,0.04696,0.02537,0.51489,649.917,0.37034,0.002476,0.002476,0.002476
78,6817.37,1.43844,1.07457,0.99728,0.08251,0.24073,0.04709,0.02544,0.51475,651.077,0.36966,0.002377,0.002377,0.002377
79,6904.98,1.42652,1.06852,0.99593,0.08302,0.2369,0.04734,0.02546,0.51671,653.012,0.37081,0.002278,0.002278,0.002278
